words,sentiment_coeff
digital,87.6170242167267
free,60.38786526959802
trade,29.68970176744083
zone,93.57326825141413
china,40.89161281073208
malaysia,71.8922403443971
established,96.69418770700396
virtual,83.84505257352836
platform,72.05745827274629
effect,80.22587962960375
2019,81.98519501937633
connect,88.21505028170876
businesses,69.80269934284183
manage,89.38851213508315
cargo,81.1142737849244
assist,96.22190181139767
customs,89.41437274739619
rough,101.73110187437922
week,77.41617595948016
markets,64.89010491241244
fears,91.68125066178035
trade_war,44.751930940890624
ratchet,106.45394455794167
day,97.8330321637392
comes,93.1121758557942
homes,95.30541067056465
business,48.11641092788689
government_agencies,82.43595290712884
country_losing,38.24548844921914
strength,91.57726738443071
grown,95.83446509761526
economy,74.68805145779594
president,60.494277482003326
suddenly,99.68701135049243
concerned,96.97925512052802
chinese,68.87879364528452
jobs,56.08727408752919
face,86.79395788088011
help,88.67287135776529
kim_jong,69.5996518830906
un,69.06809127035775
north_korean,70.82046467610954
leader,92.94111666624816
singapore_summit,89.16741816496851
advanced,95.9592308758576
year,59.867438804007335
korea,51.15079897982866
issues,80.49632009811263
able,96.51137064642455
strike,86.41466345117463
xi,52.42028206585475
uschina_trade,77.81752031610642
war,47.29041865442285
arguing,94.36754348612742
order,50.68109699691542
based,86.35625586221329
multilateralism,90.35307226805182
think,29.735935772909386
trump_administration,84.08576218991823
use,97.37885557974283
possible,91.31691194047087
dialogues,97.3477360216119
negotiate,98.0761264141546
way,67.2437252073414
believe,80.30413498368242
jointly,88.52102134905543
cambodia,92.01142245065937
women,82.62992586152261
training,87.09600236488525
centre,97.96365681501223
supplied,76.01297091964585
needed,99.98764906612092
materials,103.2296012434856
stimulate,88.52274681436677
create,81.14818747894525
find,96.09161457109172
acquire,97.49597312868066
professional,90.08435190543311
skills,91.78392179699473
improve,40.548141754044316
futures,96.03624454642896
clarity_factors,61.32642543979856
early_2019,51.402706469741645
starting_clearer,62.83076578581196
line_sight,56.53129978307075
prospect_resolution,64.29309963518118
dispute,85.20192595294482
nerves,92.05188880185071
remain,94.38068526227255
view,97.91225196555058
will,98.39401786424186
global,62.92912494014974
trump,67.95458520486751
hard,89.58174747318166
approach,86.5286936858801
settlement,88.56036271113175
likely,76.67159664408601
responsive,103.42090136863408
degree,104.92293334387224
know,55.584466797976795
issue,84.93589696849368
certain,92.30193881737675
sympathy,94.83913553276994
reality,95.52380156345805
deal,67.84884635742877
administration,41.27249224693312
deals,77.06799712136844
policy,88.68970624857133
different,97.14368483799899
seen_past,99.55073770606013
years,33.536735844925154
arrest,86.66119505996424
lawyer,102.20511488806005
member,89.32428083486076
business_community,90.51976978710096
academic,83.73045761194432
feel_safe,85.72909040167838
travelling,92.03132720035218
players,95.95629402919671
world,67.91817735383289
taken,83.250496418675
measures,58.40032477574989
actually,92.60052545273668
hinder,105.13388729102563
international,75.67138706731568
risk,87.01339281969705
situation,96.0458680984275
continues_escalate,107.26964923970579
turns,92.01393037900993
negative_impact,96.98227727316862
economies,89.43113596305781
region,70.19221193009328
chosen,92.45260787759854
powerful,102.6103781615148
sanctions,81.83457525925942
curbing,95.90811839491596
fentanyl,109.17220459313175
